"bot"	"statuses_count"	"default_profile"	"default_profile_image"	"friends_count"	"followers_count"	"favourites_count"	"geo_enabled"	"listed_count"	"account_age_hours"	"diversity"	"mean_mins_between_tweets"	"mean_tweet_length"	"mean_retweets"	"reply_rate"
"0"	428	1	0	1867	1680	0	0	29	3002	0.268582755203	182.43718593	76	1.58139534884	0
"0"	6239	0	0	896	372	4325	1	4	67482	0.691156462585	441.578313253	69.5508982036	1.2	0.245508982036
"0"	80	1	0	161	54	16	0	15	23406	0.796875	22847.3333333	113.852459016	1.33333333333	0.0491803278689
"0"	12	1	1	1103	140	1	0	1	3676	0.776699029126	4310.80645161	59.375	1	0.53125
"0"	4052	0	0	372	387	1751	1	21	14718	0.72027972028	290.40625	86.6899224806	2.5	0.441860465116
"0"	28	1	0	285	31	0	0	1	4898	0.810426540284	6495.66666667	93.0294117647	3	0.0294117647059
"0"	21	1	0	1555	192	15	1	0	2218	0.458015267176	646.678571429	39.8849557522	1.63636363636	0.752212389381
"0"	1379	0	0	291	184	188	0	9	48548	0.660682226212	1198.232	95.4285714286	1.25	0.777777777778
"0"	2212	0	0	2517	3621	212	1	145	57005	0.62187088274	844.25625	91.3726708075	1.48780487805	0.16149068323
"0"	162	0	0	163	105	340	0	6	47479	0.754285714286	18963.0604027	107.66	1.3	0.446666666667
"0"	31	0	0	125	64	42	0	2	29812	0.684729064039	19797.3690476	94.0235294118	2.42857142857	0.576470588235
"0"	172	1	0	575	167	570	1	3	34880	0.702898550725	3663.09195402	76.8522727273	1.44444444444	0.5
"0"	168	1	0	288	133	321	0	4	8345	0.718411552347	3593.04724409	80.3515625	1.46153846154	0.6171875
"0"	30	1	0	37	10	26	0	2	4904	0.774869109948	7291.63636364	110.323529412	1.33333333333	0.117647058824
"0"	1749	1	0	1031	1028	332	0	93	12328	0.75	184.142857143	85.7934782609	2.52941176471	0.663043478261
"0"	17	1	0	270	49	6	0	3	20228	0.753676470588	19258.962963	106.945454545	2.13333333333	0.4
"0"	100	0	0	248	163	32	1	7	8089	0.693452380952	6333.06849315	110.472972973	3.47368421053	0.405405405405
"0"	1164	0	0	2000	910	182	1	24	56132	0.327930174564	916.624137931	105.570446735	1.625	0.123711340206
"0"	1164	0	0	2000	907	182	1	25	56132	0.327930174564	916.624137931	105.570446735	1.625	0.123711340206
"0"	1164	0	0	2000	907	182	1	25	56132	0.327930174564	916.624137931	105.570446735	1.625	0.123711340206
"0"	4758	0	0	431	1301	6437	1	99	60103	0.763046544429	2139.53521127	104.132867133	1.71428571429	0.398601398601
"0"	1976	0	0	300	354	1585	0	15	29538	0.655270655271	611.992957746	96.3706293706	1.86363636364	0.692307692308
"0"	984	0	0	314	132	883	0	4	37971	0.745059288538	405.394957983	81.275	1.88888888889	0.191666666667
"0"	16825	0	0	40633	62142	113640	0	2191	73050	0.623255813953	181.448863636	82.8587570621	5.07462686567	0.299435028249
"0"	1250	0	0	321	131	4542	1	3	54724	0.706333973129	1927.41071429	82.9026548673	2	0.221238938053
"0"	4655	1	0	816	832	273	1	69	62787	0.735714285714	656.617647059	81.1094890511	3.26666666667	0.678832116788
"0"	59	1	0	41	5	0	0	0	46132	0.535211267606	8862.75	99.6829268293	1	0.0487804878049
"0"	109	0	0	156	60	1	0	1	36887	0.136796536797	10549.2894737	121.764397906	1.25	0.115183246073
"0"	434	0	0	555	512	221	0	40	61508	0.369727047146	447.951807229	107.828	2.9842519685	0.136
"0"	434	0	0	555	513	221	0	40	61508	0.369727047146	447.951807229	107.828	2.9842519685	0.136
"0"	434	0	0	555	513	221	0	40	61508	0.369727047146	447.951807229	107.828	2.9842519685	0.136
"0"	988	0	0	199	320	81	1	22	72238	0.777202072539	2533.51724138	82.5	1.46666666667	0.431818181818
"0"	312	0	0	837	522	257	0	6	3560	0.472190692395	500.368686869	103.904522613	1.41025641026	0.467336683417
"0"	690	0	0	1425	423	2031	1	34	11297	0.368530020704	974.459821429	86.4933333333	1.5625	0.453333333333
"0"	691	0	0	1425	425	2031	1	34	11297	0.368530020704	974.459821429	86.4933333333	1.5625	0.453333333333
"0"	691	0	0	1425	425	2031	1	34	11297	0.368530020704	974.459821429	86.4933333333	1.5625	0.453333333333
"0"	2286	1	0	828	230	121	1	20	47011	0.77374301676	2332.33766234	90.4230769231	2.66666666667	0.628205128205
"0"	163	0	0	434	470	328	0	5	17108	0.706563706564	15676.483871	76.619047619	1.76923076923	0.492063492063
"0"	598	0	0	216	133	482	0	14	54199	0.635789473684	4785.94897959	100.393939394	1.83333333333	0.555555555556
"0"	436	0	0	109	121	35	1	1	52714	0.732835820896	4539.68382353	86.8759124088	1.22222222222	0.277372262774
"0"	1746	1	0	551	274	506	0	13	62938	0.78813559322	28353.71875	96.9538461538	1.5625	0.292307692308
"0"	462	1	0	371	191	186	1	3	51918	0.387772925764	2782.22556391	76.808988764	1	0.209737827715
"0"	462	1	0	371	191	186	1	3	51918	0.387772925764	2782.22556391	76.808988764	1	0.209737827715
"0"	462	1	0	371	191	186	1	3	51918	0.387772925764	2782.22556391	76.808988764	1	0.209737827715
"0"	178	0	0	270	84	493	0	24	15409	0.806201550388	14502.08	98.5	3.25	0.346153846154
"0"	1624	0	0	917	369	1446	0	12	23087	0.721153846154	6989.50666667	67.8815789474	1.44444444444	0.486842105263
"0"	18472	0	0	905	3643	1032	1	318	59265	0.772556390977	367.704918033	106.276422764	2.65957446809	0.520325203252
"0"	6421	0	0	566	266	3106	0	17	30610	0.66081871345	842.054794521	100.394557823	3.4	0.775510204082
"0"	851	0	0	372	217	648	0	6	47489	0.81917211329	2194.03	93.7326732673	2.71428571429	0.356435643564
"0"	62984	0	0	1350	1466	3198	0	71	56605	0.577669902913	722.075862069	73.0136986301	1	0.952054794521
